Algorithm,Array Size,Input Case,Time (seconds),Memory (KB)
Selection Sort,1000,Random,0.188534,0.3
Selection Sort,1000,Worst,0.189085,0.3
Selection Sort,10000,Best,19.976144,0.3
Selection Sort,10000,Random,20.155566,0.3
Selection Sort,10000,Worst,20.263707,0.3
Selection Sort,100000,Best,Time Limit,N/A
Selection Sort,100000,Random,Time Limit,N/A
Selection Sort,100000,Worst,Time Limit,N/A
Selection Sort,1000000,Best,Time Limit,N/A
Selection Sort,1000000,Random,Time Limit,N/A
Selection Sort,1000000,Worst,Time Limit,N/A
Shell Sort,1000,Best,0.015077,0.2
Shell Sort,1000,Random,0.046562,0.23
Shell Sort,1000,Worst,0.010343,0.23
Shell Sort,10000,Best,0.125557,0.23
Shell Sort,10000,Random,0.363228,0.26
Shell Sort,10000,Worst,0.237166,0.26
Shell Sort,100000,Best,1.25244,0.23
Shell Sort,100000,Random,6.559131,0.26
Shell Sort,100000,Worst,2.713403,0.26
Shell Sort,1000000,Best,14.865808,0.23
Shell Sort,1000000,Random,102.167266,0.26
Shell Sort,1000000,Worst,29.383695,0.26
Smooth Sort,1000,Best,0.024131,1.14
Smooth Sort,1000,Random,0.053349,1.3
Smooth Sort,1000,Worst,0.055728,1.3
Smooth Sort,10000,Best,0.066582,1.42
Smooth Sort,10000,Random,0.338006,1.58
Smooth Sort,10000,Worst,0.264992,1.58
Smooth Sort,100000,Best,0.597911,1.64
Smooth Sort,100000,Random,3.88375,1.8
Smooth Sort,100000,Worst,3.006784,1.8
Smooth Sort,1000000,Best,5.615325,1.8
Smooth Sort,1000000,Random,44.244948,1.95
Smooth Sort,1000000,Worst,33.645536,1.95
Strand Sort,1000,Best,0.003162,16.7
Strand Sort,1000,Random,0.062154,31.43
Strand Sort,1000,Worst,0.308203,31.73
Strand Sort,10000,Best,0.016693,161.54
Strand Sort,10000,Random,1.458898,312.3
Strand Sort,10000,Worst,36.705418,312.98
Strand Sort,100000,Best,0.98068,1563.7
Strand Sort,100000,Random,50.368573,3123.97
Strand Sort,100000,Worst,Time Limit,N/A
Strand Sort,1000000,Best,102.6343,16063.45
Strand Sort,1000000,Random,Time Limit,N/A
Strand Sort,1000000,Worst,Time Limit,N/A
Tim Sort (Simplified),1000,Best,0.023201,8.36
Tim Sort (Simplified),1000,Random,0.047777,8.36
Tim Sort (Simplified),1000,Worst,0.044403,8.36
Tim Sort (Simplified),10000,Best,0.134933,78.67
Tim Sort (Simplified),10000,Random,0.299309,78.67
Tim Sort (Simplified),10000,Worst,0.420427,78.67
Tim Sort (Simplified),100000,Best,1.583408,781.79
Tim Sort (Simplified),100000,Random,3.255082,781.79
Tim Sort (Simplified),100000,Worst,4.701388,781.79
Tim Sort (Simplified),1000000,Best,20.261315,7813.04
Tim Sort (Simplified),1000000,Random,34.496658,7813.04
Tim Sort (Simplified),1000000,Worst,50.740203,7813.04
Tim Sort (Built-in),1000,Best,4.00E-05,0.05
Tim Sort (Built-in),1000,Random,8.60E-05,3.88
Tim Sort (Built-in),1000,Worst,0.000182,3.9
